country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp,region_1,region_2,continent,latitude,longitude
Gabon,63.7,57.7,3.5,18.9,15400.0,16.6,62.9,4.08,8750.0,Middle Africa,Sub-Saharan Africa,Africa,-0.803689,11.609444
Gambia,80.3,23.8,5.69,42.7,1660.0,4.3,65.5,5.71,562.0,Western Africa,Sub-Saharan Africa,Africa,13.443182,-15.310139
Georgia,16.5,35.0,10.1,52.8,6730.0,8.55,72.8,1.92,2960.0,Western Asia,,Asia,42.315407,43.356892
Germany,4.2,42.3,11.6,37.1,40400.0,0.758,80.1,1.39,41800.0,Western Europe,,Europe,51.165691,10.451526
Ghana,74.7,29.5,5.22,45.9,3060.0,16.6,62.2,4.27,1310.0,Western Africa,Sub-Saharan Africa,Africa,7.946527,-1.023194
Greece,3.9,22.1,10.3,30.7,28700.0,0.673,80.4,1.48,26900.0,Southern Europe,,Europe,39.074208,21.824312
Grenada,14.6,23.8,5.86,49.2,11200.0,0.48,71.3,2.24,7370.0,Caribbean,Latin America and the Caribbean,North America,12.262776,-61.604171
Guatemala,35.4,25.8,6.85,36.3,6710.0,5.14,71.3,3.38,2830.0,Central America,Latin America and the Caribbean,North America,15.783471,-90.230759
Guinea,109.0,30.3,4.93,43.2,1190.0,16.1,58.0,5.34,648.0,Western Africa,Sub-Saharan Africa,Africa,9.945587,-9.696645
Guinea-Bissau,114.0,14.9,8.5,35.2,1390.0,2.97,55.6,5.05,547.0,Western Africa,Sub-Saharan Africa,Africa,11.803749,-15.180413
Guyana,37.6,51.4,5.38,79.1,5840.0,5.73,65.5,2.65,3040.0,South America,Latin America and the Caribbean,South America,4.860416,-58.93018
Haiti,208.0,15.3,6.91,64.7,1500.0,5.45,32.1,3.33,662.0,Caribbean,Latin America and the Caribbean,North America,18.971187,-72.285215
Hungary,6.0,81.8,7.33,76.5,22300.0,2.33,74.5,1.25,13100.0,Eastern Europe,,Europe,47.162494,19.503304
Iceland,2.6,53.4,9.4,43.3,38800.0,5.47,82.0,2.2,41900.0,Northern Europe,,Europe,64.963051,-19.020835
India,58.8,22.6,4.05,27.1,4410.0,8.98,66.2,2.6,1350.0,Southern Asia,,Asia,20.593684,78.96288
Indonesia,33.3,24.3,2.61,22.4,8430.0,15.3,69.9,2.48,3110.0,South-eastern Asia,,Asia,-0.789275,113.921327
Iran,19.3,24.4,5.6,19.4,17400.0,15.9,74.5,1.76,6530.0,Southern Asia,,Asia,32.427908,53.688046
Iraq,36.9,39.4,8.41,34.1,12700.0,16.6,67.2,4.56,4500.0,Western Asia,,Asia,33.223191,43.679291
Ireland,4.2,103.0,9.19,86.5,45700.0,-3.22,80.4,2.05,48700.0,Northern Europe,,Europe,53.41291,-8.24389
Israel,4.6,35.0,7.63,32.9,29600.0,1.77,81.4,3.03,30600.0,Western Asia,,Asia,31.046051,34.851612
Italy,4.0,25.2,9.53,27.2,36200.0,0.319,81.7,1.46,35800.0,Southern Europe,,Europe,41.87194,12.56738
Jamaica,18.1,31.3,4.81,49.6,8000.0,9.81,74.7,2.17,4680.0,Caribbean,Latin America and the Caribbean,North America,18.109581,-77.297508
Japan,3.2,15.0,9.49,13.6,35800.0,-1.9,82.8,1.39,44500.0,Eastern Asia,,Asia,36.204824,138.252924
Jordan,21.1,48.3,8.04,69.0,9470.0,8.43,75.8,3.66,3680.0,Western Asia,,Asia,30.585164,36.238414
Kazakhstan,21.5,44.2,4.29,29.9,20100.0,19.5,68.4,2.6,9070.0,Central Asia,,Asia,48.019573,66.923684
Kenya,62.2,20.7,4.75,33.6,2480.0,2.09,62.8,4.37,967.0,Eastern Africa,Sub-Saharan Africa,Africa,-0.023559,37.906193
Kiribati,62.7,13.3,11.3,79.9,1730.0,1.52,60.7,3.84,1490.0,Micronesia,,Oceania,-3.370417,-168.734039
Kuwait,10.8,66.7,2.63,30.4,75200.0,11.2,78.2,2.21,38500.0,Western Asia,,Asia,29.31166,47.481766
Kyrgyz Republic,29.6,51.6,6.18,81.7,2790.0,10.0,68.5,3.1,880.0,Central Asia,,Asia,41.20438,74.766098
Lao,78.9,35.4,4.47,49.3,3980.0,9.2,63.8,3.15,1140.0,South-eastern Asia,,Asia,19.85627,102.495496
Latvia,7.8,53.7,6.68,55.1,18300.0,-0.812,73.1,1.36,11300.0,Northern Europe,,Europe,56.879635,24.603189
Lebanon,10.3,35.8,7.03,60.2,16300.0,0.238,79.8,1.61,8860.0,Western Asia,,Asia,33.854721,35.862285
Lesotho,99.7,39.4,11.1,101.0,2380.0,4.15,46.5,3.3,1170.0,Southern Africa,Sub-Saharan Africa,Africa,-29.609988,28.233608
Liberia,89.3,19.1,11.8,92.6,700.0,5.47,60.8,5.02,327.0,Western Africa,Sub-Saharan Africa,Africa,6.428055,-9.429499
Libya,16.6,65.6,3.88,42.1,29600.0,14.2,76.1,2.41,12100.0,Northern Africa,,Africa,26.3351,17.228331
Lithuania,6.1,65.3,7.04,67.2,21100.0,2.38,73.2,1.5,12000.0,Northern Europe,,Europe,55.169438,23.881275
Luxembourg,2.8,175.0,7.77,142.0,91700.0,3.62,81.3,1.63,105000.0,Western Europe,,Europe,49.815273,6.129583
"Macedonia, FYR",10.4,39.8,7.09,58.1,11400.0,2.04,74.0,1.47,4540.0,Southern Europe,,Europe,41.608635,21.745275
Madagascar,62.2,25.0,3.77,43.0,1390.0,8.79,60.8,4.6,413.0,Eastern Africa,Sub-Saharan Africa,Africa,-18.766947,46.869107
Malawi,90.5,22.8,6.59,34.9,1030.0,12.1,53.1,5.31,459.0,Eastern Africa,Sub-Saharan Africa,Africa,-13.254308,34.301525
Malaysia,7.9,86.9,4.39,71.0,21100.0,7.27,74.5,2.15,9070.0,South-eastern Asia,,Asia,4.210484,101.975766
Maldives,13.2,77.6,6.33,65.4,10500.0,2.88,77.9,2.23,7100.0,Southern Asia,,Asia,3.202778,73.22068
Mali,137.0,22.8,4.98,35.1,1870.0,4.37,59.5,6.55,708.0,Western Africa,Sub-Saharan Africa,Africa,17.570692,-3.996166
Malta,6.8,153.0,8.65,154.0,28300.0,3.83,80.3,1.36,21100.0,Southern Europe,,Europe,35.937496,14.375416
Mauritania,97.4,50.7,4.41,61.2,3320.0,18.9,68.2,4.98,1200.0,Western Africa,Sub-Saharan Africa,Africa,21.00789,-10.940835
Mauritius,15.0,51.2,6.0,62.2,15900.0,1.13,73.4,1.57,8000.0,Eastern Africa,Sub-Saharan Africa,Africa,-20.348404,57.552152
"Micronesia, Fed. Sts.",40.0,23.5,14.2,81.0,3340.0,3.8,65.4,3.46,2860.0,Micronesia,,Oceania,7.425554,150.550812
Moldova,17.2,39.2,11.7,78.5,3910.0,11.1,69.7,1.27,1630.0,Eastern Europe,,Europe,47.411631,28.369885
Mongolia,26.1,46.7,5.44,56.7,7710.0,39.2,66.2,2.64,2650.0,Eastern Asia,,Asia,46.862496,103.846656
Montenegro,6.8,37.0,9.11,62.7,14000.0,1.6,76.4,1.77,6680.0,Southern Europe,,Europe,42.708678,19.37439
Morocco,33.5,32.2,5.2,43.0,6440.0,0.976,73.5,2.58,2830.0,Northern Africa,,Africa,31.791702,-7.09262
Mozambique,101.0,31.5,5.21,46.2,918.0,7.64,54.5,5.56,419.0,Eastern Africa,Sub-Saharan Africa,Africa,-18.665695,35.529562
Myanmar,64.4,0.109,1.97,0.0659,3720.0,7.04,66.8,2.41,988.0,South-eastern Asia,,Asia,21.913965,95.956223
Namibia,56.0,47.8,6.78,60.7,8460.0,3.56,58.6,3.6,5190.0,Southern Africa,Sub-Saharan Africa,Africa,-22.95764,18.49041
Nepal,47.0,9.58,5.25,36.4,1990.0,15.1,68.3,2.61,592.0,Southern Asia,,Asia,28.394857,84.124008
Netherlands,4.5,72.0,11.9,63.6,45500.0,0.848,80.7,1.79,50300.0,Western Europe,,Europe,52.132633,5.291266
New Zealand,6.2,30.3,10.1,28.0,32300.0,3.73,80.9,2.17,33700.0,Australia and New Zealand,,Oceania,-40.900557,174.885971
Niger,123.0,22.2,5.16,49.1,814.0,2.55,58.8,7.49,348.0,Western Africa,Sub-Saharan Africa,Africa,17.607789,8.081666
Nigeria,130.0,25.3,5.07,17.4,5150.0,104.0,60.5,5.84,2330.0,Western Africa,Sub-Saharan Africa,Africa,9.081999,8.675277
Norway,3.2,39.7,9.48,28.5,62300.0,5.95,81.0,1.95,87800.0,Northern Europe,,Europe,60.472024,8.468946
Oman,11.7,65.7,2.77,41.2,45300.0,15.6,76.1,2.9,19300.0,Western Asia,,Asia,21.512583,55.923255
Pakistan,92.1,13.5,2.2,19.4,4280.0,10.9,65.3,3.85,1040.0,Southern Asia,,Asia,30.375321,69.345116
Panama,19.7,70.0,8.1,78.2,15400.0,2.59,77.8,2.62,8080.0,Central America,Latin America and the Caribbean,North America,8.537981,-80.782127
Paraguay,24.1,55.1,5.87,51.5,7290.0,6.1,74.1,2.73,3230.0,South America,Latin America and the Caribbean,South America,-23.442503,-58.443832
Peru,20.3,27.8,5.08,23.8,9960.0,5.71,77.9,2.54,5020.0,South America,Latin America and the Caribbean,South America,-9.189967,-75.015152
Philippines,31.9,34.8,3.61,36.6,5600.0,4.22,69.0,3.16,2130.0,South-eastern Asia,,Asia,12.879721,121.774017
Poland,6.0,40.1,7.46,42.1,21800.0,1.66,76.3,1.41,12600.0,Eastern Europe,,Europe,51.919438,19.145136
Portugal,3.9,29.9,11.0,37.4,27200.0,0.643,79.8,1.39,22500.0,Southern Europe,,Europe,39.399872,-8.224454
Qatar,9.0,62.3,1.81,23.8,125000.0,6.98,79.5,2.07,70300.0,Western Asia,,Asia,25.354826,51.183884
Romania,11.5,32.6,5.58,38.8,17800.0,3.53,73.7,1.59,8230.0,Eastern Europe,,Europe,45.943161,24.96676
Russia,10.0,29.2,5.08,21.1,23100.0,14.2,69.2,1.57,10700.0,Eastern Europe,,Europe,61.52401,105.318756
Rwanda,63.6,12.0,10.5,30.0,1350.0,2.61,64.6,4.51,563.0,Eastern Africa,Sub-Saharan Africa,Africa,-1.940278,29.873888
Samoa,18.9,29.2,6.47,53.1,5400.0,1.72,71.5,4.34,3450.0,Polynesia,,Oceania,-13.759029,-172.104629
Saudi Arabia,15.7,49.6,4.29,33.0,45400.0,17.2,75.1,2.96,19300.0,Western Asia,,Asia,23.885942,45.079162
Senegal,66.8,24.9,5.66,40.3,2180.0,1.85,64.0,5.06,1000.0,Western Africa,Sub-Saharan Africa,Africa,14.497401,-14.452362
Serbia,7.6,32.9,10.4,47.9,12700.0,5.88,74.7,1.4,5410.0,Southern Europe,,Europe,44.016521,21.005859
Seychelles,14.4,93.8,3.4,108.0,20400.0,-4.21,73.4,2.17,10800.0,Eastern Africa,Sub-Saharan Africa,Africa,-4.679574,55.491977
Sierra Leone,160.0,16.8,13.1,34.5,1220.0,17.2,55.0,5.2,399.0,Western Africa,Sub-Saharan Africa,Africa,8.460555,-11.779889
Singapore,2.8,200.0,3.96,174.0,72100.0,-0.046,82.7,1.15,46600.0,South-eastern Asia,,Asia,1.352083,103.819836
Slovak Republic,7.0,76.3,8.79,77.8,25200.0,0.485,75.5,1.43,16600.0,Eastern Europe,,Europe,48.669026,19.699024
Slovenia,3.2,64.3,9.41,62.9,28700.0,-0.987,79.5,1.57,23400.0,Southern Europe,,Europe,46.151241,14.995463
Solomon Islands,28.1,49.3,8.55,81.2,1780.0,6.81,61.7,4.24,1290.0,Melanesia,,Oceania,-9.64571,160.156194
South Africa,53.7,28.6,8.94,27.4,12000.0,6.35,54.3,2.59,7280.0,Southern Africa,Sub-Saharan Africa,Africa,-30.559482,22.937506
South Korea,4.1,49.4,6.93,46.2,30400.0,3.16,80.1,1.23,22100.0,Eastern Asia,,Asia,35.907757,127.766922
Spain,3.8,25.5,9.54,26.8,32500.0,0.16,81.9,1.37,30700.0,Southern Europe,,Europe,40.463667,-3.74922
Sri Lanka,11.2,19.6,2.94,26.8,8560.0,22.8,74.4,2.2,2810.0,Southern Asia,,Asia,7.873054,80.771797
St. Vincent and the Grenadines,20.7,26.9,4.47,57.1,9920.0,4.44,71.6,2.07,6230.0,Caribbean,Latin America and the Caribbean,North America,12.984305,-61.287228
Sudan,76.7,19.7,6.32,17.2,3370.0,19.6,66.3,4.88,1480.0,Northern Africa,,Africa,12.862807,30.217636
Suriname,24.1,52.5,7.01,38.4,14200.0,7.2,70.3,2.52,8300.0,South America,Latin America and the Caribbean,South America,3.919305,-56.027783
Sweden,3.0,46.2,9.63,40.7,42900.0,0.991,81.5,1.98,52100.0,Northern Europe,,Europe,60.128161,18.643501
Switzerland,4.5,64.0,11.5,53.3,55500.0,0.317,82.2,1.52,74600.0,Western Europe,,Europe,46.818188,8.227512
Tajikistan,52.4,14.9,5.98,58.6,2110.0,12.5,69.6,3.51,738.0,Central Asia,,Asia,38.861034,71.276093
Tanzania,71.9,18.7,6.01,29.1,2090.0,9.25,59.3,5.43,702.0,Eastern Africa,Sub-Saharan Africa,Africa,-6.369028,34.888822
Thailand,14.9,66.5,3.88,60.8,13500.0,4.08,76.6,1.55,5080.0,South-eastern Asia,,Asia,15.870032,100.992541
Timor-Leste,62.6,2.2,9.12,27.8,1850.0,26.5,71.1,6.23,3600.0,South-eastern Asia,,Asia,-8.874217,125.727539
Togo,90.3,40.2,7.65,57.3,1210.0,1.18,58.7,4.87,488.0,Western Africa,Sub-Saharan Africa,Africa,8.619543,0.824782
Tonga,17.4,12.4,5.07,60.3,4980.0,3.68,69.9,3.91,3550.0,Polynesia,,Oceania,-21.178986,-175.198242
Tunisia,17.4,50.5,6.21,55.3,10400.0,3.82,76.9,2.14,4140.0,Northern Africa,,Africa,33.886917,9.537499
Turkey,19.1,20.4,6.74,25.5,18000.0,7.01,78.2,2.15,10700.0,Western Asia,,Asia,38.963745,35.243322
Turkmenistan,62.0,76.3,2.5,44.5,9940.0,2.31,67.9,2.83,4440.0,Central Asia,,Asia,38.969719,59.556278
Uganda,81.0,17.1,9.01,28.6,1540.0,10.6,56.8,6.15,595.0,Eastern Africa,Sub-Saharan Africa,Africa,1.373333,32.290275
Ukraine,11.7,47.1,7.72,51.1,7820.0,13.4,70.4,1.44,2970.0,Eastern Europe,,Europe,48.379433,31.16558
United Arab Emirates,8.6,77.7,3.66,63.6,57600.0,12.5,76.5,1.87,35000.0,Western Asia,,Asia,23.424076,53.847818
United Kingdom,5.2,28.2,9.64,30.8,36200.0,1.57,80.3,1.92,38900.0,Northern Europe,,Europe,55.378051,-3.435973
United States,7.3,12.4,17.9,15.8,49400.0,1.22,78.7,1.93,48400.0,Northern America,,North America,37.09024,-95.712891
Uruguay,10.6,26.3,8.35,25.4,17100.0,4.91,76.4,2.08,11900.0,South America,Latin America and the Caribbean,South America,-32.522779,-55.765835
Uzbekistan,36.3,31.7,5.81,28.5,4240.0,16.5,68.8,2.34,1380.0,Central Asia,,Asia,41.377491,64.585262
Vanuatu,29.2,46.6,5.25,52.7,2950.0,2.62,63.0,3.5,2970.0,Melanesia,,Oceania,-15.376706,166.959158
Venezuela,17.1,28.5,4.91,17.6,16500.0,45.9,75.4,2.47,13500.0,South America,Latin America and the Caribbean,South America,6.42375,-66.58973
Vietnam,23.3,72.0,6.84,80.2,4490.0,12.1,73.1,1.95,1310.0,South-eastern Asia,,Asia,14.058324,108.277199
Yemen,56.3,30.0,5.18,34.4,4480.0,23.6,67.5,4.67,1310.0,Western Asia,,Asia,15.552727,48.516388
Zambia,83.1,37.0,5.89,30.9,3280.0,14.0,52.0,5.4,1460.0,Eastern Africa,Sub-Saharan Africa,Africa,-13.133897,27.849332
