price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,sqft_living15,sqft_lot15,yr_sold_built
861990.0,5,2.75,3595,5639,2.0,0,0,3,9,3595,0,3625,5639,0
685000.0,3,1.0,1570,2280,2.0,0,0,3,7,1570,0,1580,2640,92
309000.0,3,1.0,1280,9656,1.0,0,0,4,6,920,360,1340,8808,55
488000.0,3,2.5,3160,13603,2.0,0,0,3,8,3160,0,3050,9232,11
210490.0,3,1.0,990,8528,1.0,0,0,3,6,990,0,1228,8840,49
785000.0,4,2.5,2290,13416,2.0,0,0,4,9,2290,0,2680,13685,33
450000.0,3,1.75,1250,5963,1.0,0,0,4,7,1250,0,970,5100,62
1350000.0,3,2.5,2753,65005,1.0,1,2,5,9,2165,588,2680,72513,62
228000.0,3,1.0,1190,9199,1.0,0,0,3,7,1190,0,1190,9364,59
345000.0,5,2.5,3150,9134,1.0,0,0,4,8,1640,1510,1990,9133,49
600000.0,3,1.75,1410,4080,1.0,0,0,4,7,1000,410,1410,4080,64
585000.0,2,1.75,1980,8550,1.0,0,0,3,7,990,990,1480,6738,34
920000.0,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,2730,6000,88
885000.0,4,2.5,2830,5000,2.0,0,0,3,9,2830,0,1950,5000,19
292500.0,4,2.5,2250,4495,2.0,0,0,3,7,2250,0,2250,4500,6
301000.0,3,2.5,2420,4750,2.0,0,0,3,8,2420,0,2690,4750,12
951000.0,5,3.25,3250,14342,2.0,0,4,4,8,3250,0,2960,11044,46
430000.0,4,3.0,1850,9976,2.0,0,0,3,8,1850,0,2270,8542,24
650000.0,3,2.25,2150,21235,1.0,0,3,4,8,1590,560,2570,18900,55
289000.0,3,1.75,1260,8400,1.0,0,0,3,7,1260,0,1290,8750,60
505000.0,3,1.75,2519,8690,2.0,0,0,5,8,2519,0,2500,9500,41
549000.0,3,1.75,1540,1044,3.0,0,0,3,8,1540,0,1580,3090,0
425000.0,3,2.25,1660,6000,1.0,0,0,3,7,1110,550,1440,4080,35
317625.0,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1440,4000,89
975000.0,4,2.5,2720,11049,2.0,0,0,3,10,2720,0,2750,11049,25
287000.0,4,2.5,2240,4648,2.0,0,0,3,7,2240,0,2221,4557,9
204000.0,3,1.0,1000,12070,1.0,0,0,4,7,1000,0,1010,12635,46
1325000.0,5,2.25,3200,20158,1.0,0,0,3,8,1600,1600,3390,20158,49
1040000.0,5,3.25,4770,50094,1.0,0,0,4,11,3070,1700,3530,38917,41
325000.0,3,2.0,1260,5612,1.0,0,0,4,7,1260,0,1640,4745,43
571000.0,4,2.0,2750,7807,1.5,0,0,5,7,2250,500,1510,7807,98
360000.0,4,2.5,2380,5000,2.0,0,0,3,8,2380,0,2420,5000,9
349000.0,3,1.75,1790,50529,1.0,0,0,5,7,1090,700,1940,50529,50
832500.0,4,4.0,3430,35102,2.0,0,0,4,10,2390,1040,3240,35020,28
380000.0,4,1.75,1760,7300,1.0,0,0,3,7,880,880,1680,7500,58
480000.0,3,1.0,1040,5060,1.0,0,0,3,7,1040,0,890,5060,74
410000.0,3,1.0,1410,5060,1.0,0,0,4,7,910,500,1130,5693,58
720000.0,4,2.5,3450,39683,2.0,0,0,3,10,3450,0,3350,39750,13
390000.0,3,2.5,2350,5100,2.0,0,0,3,8,2350,0,2350,5363,11
360000.0,4,2.5,1900,5889,2.0,0,0,3,7,1900,0,1870,6405,22
355000.0,2,1.0,2020,6720,1.0,0,0,3,7,1010,1010,1720,6720,66
356000.0,3,1.5,1680,8712,1.0,0,0,3,8,1680,0,1850,8797,51
315000.0,3,1.0,960,6634,1.0,0,0,3,6,960,0,1570,7203,62
940000.0,3,1.5,2140,3600,2.0,0,0,3,9,1900,240,2020,4800,89
305000.0,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1590,8165,53
461000.0,3,3.25,2770,6278,2.0,0,0,3,9,1980,790,1900,7349,8
215000.0,2,2.25,1610,2040,2.0,0,0,4,7,1610,0,1950,2025,35
335000.0,2,1.75,1030,1066,2.0,0,0,3,7,765,265,1030,1106,8
243500.0,4,2.5,1980,7403,2.0,0,0,3,7,1980,0,1980,7510,26
1099880.0,5,2.75,3520,6353,2.0,0,0,4,10,3520,0,2520,6250,14
153000.0,3,1.0,1200,10500,1.0,0,0,3,7,1200,0,1350,10500,53
430000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1570,4500,75
700000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1570,4500,75
905000.0,4,2.5,3300,10250,1.0,0,0,3,7,2390,910,1950,6045,68
247500.0,3,1.75,1960,15681,1.0,0,0,3,7,1960,0,1750,15616,48
199000.0,4,1.5,1160,6400,1.0,0,0,4,7,1160,0,1160,6400,39
314000.0,3,1.75,1810,41800,1.0,0,0,5,7,1210,600,1650,135036,34
437500.0,3,2.5,2320,36847,2.0,0,2,3,9,2320,0,2550,35065,22
850830.0,3,2.5,2070,13241,1.5,0,0,5,9,1270,800,2200,4500,104
555000.0,3,2.0,1980,3478,1.5,0,0,4,7,1440,540,1610,3478,85
699950.0,3,2.25,2190,107593,2.0,0,0,4,8,2190,0,2570,47777,31
1088000.0,3,2.5,2920,8113,2.0,0,0,3,8,2920,0,2370,8113,64
290000.0,3,1.0,1210,33919,1.0,0,0,3,7,1210,0,1640,14910,60
375000.0,3,2.5,2340,10005,1.0,0,0,4,8,1460,880,2250,8162,37
460000.0,3,1.0,1670,4005,1.5,0,0,4,7,1170,500,1240,4005,75
188500.0,2,1.75,1240,2493,1.0,0,0,4,8,1240,0,1270,4966,29
680000.0,4,2.5,3140,28037,2.0,0,0,4,10,3140,0,2990,35001,24
470000.0,5,1.75,2030,12342,2.0,0,0,4,7,2030,0,2500,9433,72
597750.0,4,2.5,2310,9624,2.0,0,0,3,8,2310,0,1940,9636,30
570000.0,3,1.75,1260,3328,1.0,0,0,5,6,700,560,1380,3536,110
272500.0,3,1.75,1540,12600,1.0,0,0,4,7,1160,380,1540,11656,34
329950.0,3,1.75,2080,5969,1.0,0,2,3,7,1080,1000,2090,5500,43
480000.0,4,2.5,3230,16171,2.0,0,3,3,9,2520,710,2640,8517,13
740500.0,3,3.5,4380,6350,2.0,0,0,3,8,2780,1600,1830,6350,114
518500.0,3,3.5,1590,1102,3.0,0,0,3,8,1590,0,1620,3166,4
205425.0,2,1.0,880,6780,1.0,0,0,4,6,880,0,1190,6780,69
171800.0,4,2.0,1570,9600,1.0,0,0,3,6,1570,0,1880,9000,65
535000.0,4,1.0,1610,2982,1.5,0,0,4,7,1610,0,1610,4040,90
660000.0,3,2.5,2400,6474,1.0,0,2,3,8,1560,840,2340,10856,51
391500.0,3,2.0,1450,9132,1.0,0,0,3,7,1450,0,1580,9104,27
395000.0,2,1.0,770,6000,1.0,0,0,3,6,770,0,1710,6000,62
445000.0,4,1.75,2100,4400,1.5,0,0,5,7,1720,380,1850,4400,90
770000.0,3,2.25,2910,10204,2.0,0,0,3,9,2910,0,2700,13992,24
1450000.0,4,2.75,2750,17789,1.5,0,0,3,8,1980,770,3060,11275,101
445000.0,3,2.25,2100,8201,1.0,0,2,3,8,1620,480,2660,8712,47
260000.0,4,2.25,2160,8811,1.0,0,0,3,8,1360,800,2090,8400,36
822500.0,5,3.5,2320,4960,2.0,0,0,5,7,1720,600,1700,4960,88
430000.0,4,2.5,2070,4310,2.0,0,0,3,7,2070,0,1970,3748,11
212000.0,3,1.75,1060,7875,1.0,0,0,4,7,1060,0,1420,7680,29
660500.0,4,2.25,2010,9603,1.0,0,0,3,8,1440,570,2060,9793,29
784000.0,3,3.5,3950,111078,1.5,0,0,3,9,2460,1490,2480,88500,25
453246.0,3,2.5,2010,2287,2.0,0,0,3,8,1390,620,1690,1662,0
675000.0,4,3.5,2140,2278,3.0,0,0,3,9,2140,0,1540,2285,10
199000.0,3,1.75,1320,17390,1.0,0,0,4,7,1320,0,1550,19265,58
220000.0,4,1.75,2020,7840,1.0,0,0,3,7,1010,1010,1750,8140,46
452000.0,4,2.25,2590,10002,1.0,0,0,4,8,1340,1250,1550,10436,46
382500.0,2,1.0,1190,4440,1.0,0,0,3,6,1190,0,1060,5715,33
519950.0,3,2.25,1170,1249,3.0,0,0,3,8,1170,0,1350,1310,0
665000.0,2,1.0,1110,3200,1.0,0,0,3,7,1110,0,1170,3600,89
527700.0,5,2.5,2820,9375,1.0,0,0,4,8,1550,1270,2820,9375,46
205000.0,3,1.0,1610,8579,1.0,0,0,4,7,1010,600,1610,8579,53
420000.0,3,1.0,1060,8097,1.0,0,0,4,7,940,120,1560,7940,92
500000.0,4,2.25,2030,8517,1.0,0,0,4,8,1380,650,2230,8824,54
921500.0,4,2.5,3670,315374,2.0,0,0,4,9,3670,0,2840,87991,20
890000.0,4,1.0,2550,4000,2.0,0,0,3,8,2370,180,2200,4000,109
430000.0,2,2.5,2420,60984,2.0,0,0,3,7,2420,0,1940,193842,7
258000.0,5,2.0,2260,12500,1.0,0,0,4,8,1130,1130,1360,18000,54
511000.0,3,1.0,1430,3455,1.0,0,0,3,7,980,450,1450,4599,67
532170.0,3,2.0,1360,3090,2.0,0,0,3,8,1360,0,1500,3090,24
560000.0,3,1.0,1110,5000,1.5,0,0,3,7,1110,0,1420,5000,68
282950.0,3,1.0,1250,8200,1.0,0,0,4,7,1250,0,1680,8633,61
2250000.0,4,3.25,5180,19850,2.0,0,3,3,12,3540,1640,3160,9750,9
350000.0,1,1.0,700,5100,1.0,0,0,3,7,700,0,1010,5100,72
215000.0,3,1.0,1180,7669,1.0,0,0,4,7,1180,0,1190,7669,47
650000.0,5,3.5,3960,25245,2.0,0,0,3,9,2500,1460,2640,13675,18
320000.0,4,2.75,2640,7500,1.0,0,0,3,8,1620,1020,1980,7875,47
247000.0,3,2.0,1270,7198,1.5,0,0,3,7,1270,0,1160,7198,98
320000.0,4,1.75,1760,11180,1.0,0,0,4,8,1760,0,1730,11180,46
255000.0,5,2.25,2060,8632,1.0,0,0,3,7,1030,1030,1010,11680,52
438000.0,3,1.75,1780,9660,1.0,0,0,3,7,1780,0,1200,9660,53
900000.0,3,2.5,3400,16603,2.0,0,0,3,10,3400,0,3400,12601,15
441000.0,3,2.75,1910,7280,1.0,0,0,3,7,1160,750,1710,8152,35
420000.0,3,2.0,2020,38332,1.0,0,0,4,7,1010,1010,2110,36590,39
370000.0,3,1.75,1580,7000,1.0,0,0,3,7,1180,400,1640,7500,38
269950.0,2,1.75,1340,7250,1.0,0,0,5,5,700,640,1830,9750,66
807100.0,4,2.5,2680,4499,2.0,0,0,3,9,2680,0,2920,4500,16
653000.0,3,2.5,2680,9750,1.0,0,0,4,8,1610,1070,2480,8750,35
371500.0,3,2.0,1370,8336,1.0,0,0,5,7,1370,0,1770,7288,50
284000.0,3,1.75,1560,21000,1.0,0,0,3,7,1560,0,1070,7920,61
272000.0,3,1.75,2160,7140,1.0,0,0,4,7,1670,490,1930,7350,37
313000.0,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1480,7940,59
917500.0,4,2.5,3880,35003,2.0,0,0,3,10,2570,1310,3740,35230,31
673000.0,4,2.25,2590,8190,2.0,0,0,4,8,2590,0,2260,8335,34
425000.0,3,2.5,1120,1100,2.0,0,0,3,8,820,300,1590,1795,7
399950.0,5,2.75,1970,5400,1.0,0,0,3,7,1320,650,1280,2150,28
385000.0,3,1.0,1220,4800,1.0,0,0,3,6,1220,0,1200,4800,113
269950.0,3,1.5,1950,7560,1.0,0,2,4,7,1320,630,1950,8941,39
330000.0,2,1.0,1350,8220,1.0,0,0,3,7,1060,290,1540,8280,66
260000.0,3,2.5,1670,5797,2.0,0,0,3,7,1670,0,1670,6183,26
470000.0,4,3.0,2380,5125,1.5,0,0,4,7,1680,700,1410,5375,90
589000.0,4,3.0,2440,9600,2.0,0,0,5,7,2440,0,2290,9600,53
163500.0,2,1.5,1050,3419,2.0,0,0,3,7,1050,0,1050,3417,18
835000.0,4,2.75,3130,13412,2.0,0,0,3,9,2140,990,2260,9984,21
1095000.0,5,3.0,4090,12850,1.0,0,2,4,10,2090,2000,2540,10270,28
269000.0,4,1.75,1490,10000,1.0,0,0,4,8,1100,390,2190,8910,46
560000.0,3,2.5,1900,8744,2.0,0,0,3,8,1900,0,2030,8744,27
615000.0,4,1.0,1330,2400,1.5,0,0,4,6,1330,0,1330,4400,114
585188.0,3,2.25,2230,10026,1.0,0,0,3,8,1430,800,2230,9340,39
305000.0,3,1.75,1650,9480,1.0,0,0,3,7,1220,430,1540,8400,37
166950.0,3,1.0,1190,8820,1.0,0,0,3,6,1190,0,1230,7980,55
799000.0,3,2.5,2140,9897,1.0,0,0,4,8,2140,0,2680,10083,55
400000.0,3,2.5,2180,7508,1.0,0,0,4,7,1420,760,1900,7818,52
230000.0,3,1.0,1060,10228,1.0,0,0,3,7,1060,0,1570,10228,66
256883.0,3,2.5,1690,5025,2.0,0,0,3,8,1690,0,2550,5001,11
423000.0,4,2.0,1970,6480,1.5,0,0,5,7,1130,840,1500,6480,94
465000.0,3,2.5,2150,4084,2.0,0,0,3,8,2150,0,1750,2385,7
440000.0,3,2.5,1910,66211,2.0,0,0,3,7,1910,0,2330,67268,18
385000.0,3,1.75,1350,155073,1.0,0,0,4,7,1350,0,1560,50965,45
210000.0,3,1.0,860,11725,1.0,0,0,4,6,860,0,1300,9514,72
297000.0,3,2.5,1940,14952,2.0,0,0,3,8,1940,0,2030,10450,20
470000.0,3,1.0,1010,5000,1.0,0,0,3,7,1010,0,1680,5000,62
226500.0,3,1.5,1300,7370,1.0,0,0,4,7,900,400,1430,7500,38
274250.0,3,1.0,910,8450,1.0,0,0,4,6,910,0,1400,8040,53
840000.0,4,1.75,2480,11010,1.0,0,0,4,9,1630,850,2770,10744,48
677900.0,3,2.5,2440,4587,2.0,0,0,3,8,2440,0,2750,4587,4
425000.0,3,1.0,1010,5864,1.0,0,0,3,7,1010,0,1290,5000,100
180250.0,2,0.75,900,9600,1.0,0,0,3,6,900,0,1250,14280,73
464000.0,6,3.0,2300,3404,2.0,0,0,3,7,1600,700,1560,1312,94
320000.0,4,2.25,1550,7579,2.0,0,0,3,8,1550,0,1630,6397,22
625504.0,3,2.25,1270,1566,2.0,0,0,3,8,1060,210,1160,1327,0
592500.0,4,2.5,2240,12032,1.0,0,0,3,9,2240,0,2520,12368,31
465000.0,3,2.5,2714,17936,2.0,0,0,3,9,2714,0,2590,18386,10
477000.0,4,2.75,1720,6270,2.0,0,0,3,8,1720,0,2130,8700,36
280000.0,2,1.0,850,16400,1.0,0,0,3,6,850,0,1100,14459,92
1505000.0,5,3.0,3300,33474,1.0,0,3,3,9,1870,1430,3836,20953,58
445838.0,3,2.5,2250,5692,2.0,0,0,3,8,2250,0,1320,5390,14
1072000.0,2,2.25,3900,14864,1.0,0,3,3,8,1950,1950,2580,5184,67
467000.0,2,1.5,1320,10800,1.0,0,0,4,8,1320,0,2120,12040,67
686000.0,4,2.5,2760,6440,2.0,0,0,3,10,2760,0,3070,8127,15
279950.0,3,2.0,1750,9750,1.0,0,0,3,7,1350,400,1900,10125,53
527000.0,4,2.25,2330,19436,2.0,0,0,3,8,2330,0,1910,10055,27
325000.0,3,2.25,2220,16020,1.0,0,0,4,8,1780,440,2080,9583,48
328000.0,3,2.25,2020,8379,2.0,0,0,3,7,2020,0,2020,8031,20
390000.0,3,2.25,1250,7500,1.0,0,0,5,7,1250,0,1280,7392,72
479950.0,2,2.0,1510,6516,1.0,0,0,3,8,1510,0,1640,6009,10
264950.0,4,2.25,1720,9753,1.0,0,0,4,7,1120,600,1510,9753,36
235000.0,3,1.0,1430,15246,1.0,0,0,4,7,980,450,1960,13068,54
516500.0,3,2.5,1480,4729,2.0,0,0,3,7,1480,0,2250,4729,11
655000.0,2,1.75,1450,15798,2.0,1,4,3,7,1230,220,2030,13193,100
500000.0,4,2.75,2280,15347,1.0,0,0,5,7,2280,0,2280,15347,54
315000.0,6,2.75,2940,7350,1.0,0,0,3,8,1780,1160,2120,8236,36
213000.0,2,1.0,1000,10200,1.0,0,0,3,6,1000,0,1150,13702,53
475000.0,3,1.5,2480,5280,1.5,0,0,5,7,1620,860,2090,4800,67
1025000.0,5,4.0,3760,28040,2.0,0,0,3,10,3760,0,3430,35096,31
416000.0,3,2.0,2220,94300,1.0,0,0,5,7,1640,580,2070,80100,39
410000.0,4,1.0,1970,4740,1.5,0,0,3,7,1670,300,1510,4740,111
800000.0,3,3.5,3830,221284,2.0,0,0,3,10,3530,300,2920,148539,21
472000.0,6,2.5,4410,14034,1.0,0,2,4,9,2350,2060,2600,13988,49
225000.0,3,1.75,1430,8505,1.0,0,0,4,7,1430,0,1190,8640,46
210000.0,2,1.0,830,6000,1.0,0,0,3,6,830,0,830,4960,74
455000.0,2,1.0,1430,5000,1.5,0,0,2,7,1430,0,1450,3750,90
225000.0,3,1.0,1300,8316,1.0,0,0,4,6,1300,0,1260,8316,61
480000.0,2,1.0,1030,3060,1.0,0,2,4,7,790,240,1390,3060,96
363000.0,3,2.5,2740,11872,2.0,0,0,3,9,2740,0,2570,10377,25
2400000.0,4,2.5,3650,8354,1.0,1,4,3,9,1830,1820,3120,18841,14
181000.0,2,1.5,720,5120,1.0,0,0,3,6,720,0,1150,2566,61
250000.0,4,2.0,2010,7312,1.0,0,0,4,7,2010,0,2010,7650,39
481000.0,3,1.75,1560,3000,1.0,0,0,4,6,770,790,1390,3000,97
260000.0,3,2.0,1810,7209,1.0,0,0,4,7,1240,570,1750,7209,36
455000.0,4,2.5,3360,7685,2.0,0,0,3,9,3360,0,3060,6567,13
415000.0,3,2.25,1510,36224,2.0,0,0,3,8,1510,0,1730,36224,24
349500.0,3,1.0,1400,3538,1.0,0,0,3,7,800,600,1620,6331,62
245000.0,3,2.5,1730,7442,2.0,0,0,3,7,1730,0,1630,6458,27
592500.0,2,2.0,1420,9191,1.5,0,2,5,7,1420,0,1420,6816,86
385000.0,4,1.75,2360,7620,1.0,0,0,4,7,1180,1180,1910,7620,59
315000.0,3,1.75,1580,11455,1.0,0,0,4,7,1200,380,1550,10650,41
255000.0,3,1.0,1230,10170,1.0,0,0,3,7,1230,0,1380,10098,35
693000.0,4,2.5,2460,4425,2.0,0,0,3,8,2460,0,2990,5659,8
780000.0,3,1.0,1660,4400,1.5,0,0,3,8,1460,200,1660,4400,103
237000.0,3,1.75,1270,8470,1.0,0,0,4,7,1270,0,1600,8470,54
525000.0,3,2.25,2100,40510,2.0,0,0,3,10,1320,780,2380,33450,35
425000.0,2,1.0,770,5040,1.0,0,0,3,5,770,0,1330,2580,85
369900.0,1,0.75,760,10079,1.0,1,4,5,5,760,0,1230,14267,78
290000.0,4,2.5,1700,7280,2.0,0,0,4,7,1700,0,1950,7475,26
285000.0,3,1.0,1120,10701,1.0,0,0,3,7,1120,0,1130,6350,60
415000.0,2,1.0,1070,4500,1.0,0,0,3,7,1070,0,1320,4465,77
272500.0,3,2.5,2070,9900,1.0,0,0,3,8,1420,650,2070,8250,36
2900000.0,4,3.25,5050,20100,1.5,0,2,3,11,4750,300,3890,20060,33
1365000.0,4,4.75,5310,57346,2.0,0,0,4,11,5310,0,4180,47443,25
436000.0,2,1.0,1040,7538,1.0,0,0,4,7,1040,0,1440,7530,76
210000.0,3,1.0,1700,11390,1.0,0,0,4,7,1700,0,1350,8164,47
236000.0,3,1.0,1300,5898,1.0,0,0,3,7,1300,0,1320,7619,53
331000.0,3,1.75,1080,1306,1.0,0,0,3,7,580,500,1440,2225,60
365000.0,3,2.5,2653,4510,2.0,0,0,3,8,2653,0,2653,4927,9
450000.0,3,2.0,2290,16258,1.0,0,0,5,8,2290,0,1660,10530,55
770000.0,4,2.75,3820,26300,2.0,0,0,3,9,2850,970,1860,12136,0
455000.0,4,2.5,2210,49375,1.0,0,0,3,8,2210,0,2670,49385,18
405000.0,3,1.75,2390,6000,1.0,0,0,3,6,1240,1150,2020,6000,107
304900.0,4,1.75,2600,11325,1.0,0,0,4,7,1610,990,1720,11088,45
170000.0,2,1.0,860,5265,1.0,0,0,3,6,860,0,1650,8775,84
2050000.0,5,3.0,3830,8480,2.0,0,1,5,9,2630,1200,3050,7556,110
780000.0,4,2.5,3500,7048,2.0,0,0,3,9,3500,0,3920,7864,9
330000.0,3,3.0,2420,13959,1.0,0,0,4,8,1740,680,2570,13300,27
370000.0,4,2.5,2720,8666,2.0,0,0,3,9,2720,0,2410,8100,22
467000.0,5,2.25,2500,13500,1.0,0,0,3,7,1850,650,2300,9750,35
405000.0,3,1.75,1670,6720,1.0,0,0,3,7,1140,530,1670,7320,35
675000.0,5,2.25,2900,10300,1.0,0,0,3,8,1450,1450,2310,10300,29
500000.0,2,1.0,1640,14100,1.0,0,0,4,7,1140,500,1520,13527,60
389999.0,4,2.5,1890,15770,2.0,0,0,4,7,1890,0,2410,15256,46
630000.0,4,1.75,2950,9025,1.0,0,2,4,8,1780,1170,2120,9600,40
360000.0,4,2.5,2160,9528,2.0,0,0,3,9,2160,0,2280,9937,22
580000.0,4,3.0,3280,11060,2.0,0,0,3,8,2270,1010,2320,11004,28
550000.0,3,2.0,1970,4166,2.0,0,3,5,8,1270,700,2390,4166,85
879000.0,4,2.5,3360,22111,2.0,0,0,3,10,3360,0,3150,11374,20
265000.0,3,2.0,1320,8959,1.0,0,0,3,7,1320,0,1740,7316,21
446500.0,3,2.5,2650,7286,2.0,0,0,3,8,2650,0,2400,7220,25
404000.0,3,1.5,2030,8880,1.0,0,0,3,7,1330,700,2140,5592,51
267500.0,3,1.75,1590,11914,1.0,0,2,3,7,1090,500,1630,9052,57
3075000.0,4,5.0,4550,18641,1.0,1,4,3,10,2600,1950,4550,19508,12
335000.0,3,2.5,2440,7632,2.0,0,0,3,8,2440,0,2510,7903,16
576000.0,3,2.5,1940,9000,1.0,0,0,4,7,970,970,2190,7310,66
208633.0,3,2.5,2040,3810,2.0,0,0,3,8,2040,0,2370,4590,9
315000.0,3,2.25,2200,8750,1.0,0,0,4,7,1120,1080,1460,10139,51
725000.0,3,1.75,1920,3300,1.0,0,0,4,8,960,960,1740,4000,102
550000.0,4,2.75,1800,7750,1.0,0,0,4,8,1400,400,1800,8275,50
610750.0,4,2.25,2180,7297,2.0,0,0,3,8,2180,0,2250,9781,30
550700.0,2,1.0,1010,5000,1.5,0,0,4,6,1010,0,1460,5000,107
665000.0,4,2.75,3320,10574,2.0,0,0,5,8,2220,1100,2720,8330,55
834000.0,4,2.5,2370,4000,1.5,0,2,5,8,1980,390,2440,5750,87
201000.0,5,1.75,1660,78408,1.5,0,0,3,6,1660,0,1660,78408,99
2384000.0,5,2.5,3650,9050,2.0,0,4,5,10,3370,280,2880,5400,93
1384000.0,4,3.25,4290,12103,1.0,0,3,3,11,2690,1600,3860,11244,17
1400000.0,4,3.25,4290,12103,1.0,0,3,3,11,2690,1600,3860,11244,17
305000.0,4,2.25,1950,7700,1.0,0,0,3,8,1350,600,2150,7350,35
487000.0,3,2.0,2590,14052,1.0,0,0,5,8,1720,870,1570,8162,67
390000.0,3,2.5,1930,64904,1.0,0,0,4,8,1930,0,2350,57500,27
548000.0,2,1.0,1470,3864,1.0,0,0,4,7,1170,300,1570,3864,98
268750.0,4,1.0,800,8775,1.0,0,0,3,6,800,0,1310,8775,71
819900.0,5,2.75,3150,7119,2.0,0,0,3,9,3150,0,1560,8384,1
520000.0,3,2.25,2030,16200,2.0,0,0,3,8,2030,0,2660,17958,30
230000.0,3,2.0,1450,11204,1.0,0,0,3,7,1450,0,1520,9518,11
240000.0,3,1.75,1510,10248,1.0,0,0,3,7,1510,0,1510,9753,46
232000.0,2,1.0,1240,12092,1.0,0,0,3,6,960,280,1820,7460,92
240500.0,2,1.0,1240,12092,1.0,0,0,3,6,960,280,1820,7460,93
274975.0,3,2.5,3030,45004,2.0,0,0,3,9,3030,0,3080,35781,27
740000.0,4,2.0,2050,4400,1.5,0,0,4,9,2050,0,2320,5500,92
186375.0,3,1.0,1000,7636,1.0,0,0,2,7,1000,0,1150,7600,63
