date,weekday,holiday,holiday_name,rest1,rest2,rest3,rest4,total
2016-03-12,Saturday,0,na,76.0,43.0,61.0,96.0,276.0
2016-03-13,Sunday,0,na,53.0,49.0,60.0,26.0,188.0
2016-03-14,Monday,0,na,18.0,3.0,13.0,22.0,56.0
2016-03-15,Tuesday,0,na,22.0,15.0,18.0,43.0,98.0
2016-03-16,Wednesday,0,na,16.0,22.0,18.0,36.0,92.0
2016-03-17,Thursday,1,St. Patrick's Day,67.0,22.0,65.0,55.0,209.0
2016-03-18,Friday,0,na,63.0,45.0,59.0,17.0,184.0
2016-03-19,Saturday,0,na,73.0,40.0,44.0,79.0,236.0
2016-03-20,Sunday,0,na,50.0,32.0,56.0,84.0,222.0
2016-03-21,Monday,0,na,21.0,42.0,31.0,37.0,131.0
2016-03-22,Tuesday,0,na,22.0,10.0,22.0,44.0,98.0
2016-03-23,Wednesday,0,na,12.0,15.0,14.0,60.0,101.0
2016-03-24,Thursday,0,na,23.0,14.0,17.0,72.0,126.0
2016-03-25,Friday,1,Good Friday,75.0,91.0,64.0,41.0,271.0
2016-03-26,Saturday,0,na,78.0,46.0,59.0,109.0,292.0
2016-03-27,Sunday,1,Easter,25.0,61.0,47.0,104.0,237.0
2016-03-28,Monday,1,Easter Monday,35.0,21.0,58.0,44.0,158.0
2016-03-29,Tuesday,0,na,58.0,15.0,22.0,70.0,165.0
2016-03-30,Wednesday,0,na,23.0,25.0,12.0,43.0,103.0
2016-03-31,Thursday,0,na,14.0,12.0,25.0,49.0,100.0
2016-04-01,Friday,0,na,36.0,46.0,24.0,19.0,125.0
2016-04-02,Saturday,0,na,55.0,27.0,50.0,103.0,235.0
2016-04-03,Sunday,0,na,30.0,20.0,52.0,79.0,181.0
2016-04-04,Monday,0,na,32.0,25.0,23.0,12.0,92.0
2016-04-05,Tuesday,0,na,18.0,44.0,22.0,34.0,118.0
2016-04-06,Wednesday,0,na,2.0,16.0,18.0,40.0,76.0
2016-04-07,Thursday,0,na,23.0,16.0,17.0,32.0,88.0
2016-04-08,Friday,0,na,47.0,49.0,22.0,45.0,163.0
2016-04-09,Saturday,0,na,64.0,16.0,51.0,94.0,225.0
2016-04-10,Sunday,0,na,53.0,28.0,52.0,30.0,163.0
2016-04-11,Monday,0,na,15.0,8.0,12.0,21.0,56.0
2016-04-12,Tuesday,0,na,30.0,12.0,9.0,18.0,69.0
2016-04-13,Wednesday,0,na,11.0,12.0,17.0,27.0,67.0
2016-04-14,Thursday,0,na,7.0,1.0,11.0,23.0,42.0
2016-04-15,Friday,0,na,56.0,52.0,38.0,17.0,163.0
2016-04-16,Saturday,0,na,80.0,4.0,60.0,31.0,175.0
2016-04-17,Sunday,0,na,38.0,15.0,41.0,77.0,171.0
2016-04-18,Monday,0,na,3.0,18.0,6.0,27.0,54.0
2016-04-19,Tuesday,0,na,11.0,11.0,19.0,40.0,81.0
2016-04-20,Wednesday,0,na,20.0,33.0,12.0,22.0,87.0
2016-04-21,Thursday,0,na,35.0,36.0,22.0,30.0,123.0
2016-04-22,Friday,0,na,28.0,47.0,20.0,48.0,143.0
2016-04-23,Saturday,0,na,96.0,48.0,39.0,109.0,292.0
2016-04-24,Sunday,0,na,50.0,22.0,38.0,51.0,161.0
2016-04-25,Monday,0,na,34.0,3.0,12.0,25.0,74.0
2016-04-26,Tuesday,0,na,33.0,52.0,11.0,34.0,130.0
2016-04-27,Wednesday,0,na,16.0,16.0,18.0,17.0,67.0
2016-04-28,Thursday,0,na,25.0,65.0,26.0,19.0,135.0
2016-04-29,Friday,0,na,109.0,52.0,20.0,17.0,198.0
2016-04-30,Saturday,0,na,33.0,53.0,71.0,88.0,245.0
2016-05-01,Sunday,0,na,49.0,40.0,30.0,96.0,215.0
2016-05-02,Monday,0,na,4.0,22.0,17.0,64.0,107.0
2016-05-03,Tuesday,0,na,22.0,16.0,43.0,21.0,102.0
2016-05-04,Wednesday,0,na,38.0,16.0,25.0,29.0,108.0
2016-05-05,Thursday,1,Cinco de Mayo,19.0,15.0,54.0,95.0,183.0
2016-05-06,Friday,0,na,37.0,16.0,17.0,32.0,102.0
2016-05-07,Saturday,0,na,40.0,8.0,39.0,90.0,177.0
2016-05-08,Sunday,1,Mother's Day,48.0,28.0,49.0,115.0,240.0
2016-05-09,Monday,0,na,12.0,7.0,7.0,14.0,40.0
2016-05-10,Tuesday,0,na,11.0,15.0,12.0,22.0,60.0
2016-05-11,Wednesday,0,na,6.0,19.0,29.0,60.0,114.0
2016-05-12,Thursday,0,na,6.0,10.0,26.0,36.0,78.0
2016-05-13,Friday,0,na,26.0,48.0,20.0,25.0,119.0
2016-05-14,Saturday,0,na,71.0,30.0,71.0,63.0,235.0
2016-05-15,Sunday,0,na,40.0,26.0,58.0,52.0,176.0
2016-05-16,Monday,0,na,17.0,7.0,14.0,18.0,56.0
2016-05-17,Tuesday,0,na,9.0,13.0,18.0,13.0,53.0
2016-05-18,Wednesday,0,na,44.0,2.0,8.0,34.0,88.0
2016-05-19,Thursday,0,na,32.0,10.0,12.0,23.0,77.0
2016-05-20,Friday,0,na,44.0,55.0,23.0,20.0,142.0
2016-05-21,Saturday,0,na,55.0,51.0,54.0,80.0,240.0
2016-05-22,Sunday,0,na,20.0,32.0,55.0,52.0,159.0
2016-05-23,Monday,0,na,20.0,10.0,14.0,6.0,50.0
2016-05-24,Tuesday,0,na,18.0,1.0,13.0,24.0,56.0
2016-05-25,Wednesday,0,na,24.0,42.0,30.0,27.0,123.0
2016-05-26,Thursday,0,na,30.0,23.0,21.0,50.0,124.0
2016-05-27,Friday,0,na,29.0,40.0,30.0,20.0,119.0
2016-05-28,Saturday,0,na,77.0,46.0,83.0,48.0,254.0
2016-05-29,Sunday,0,na,33.0,17.0,53.0,51.0,154.0
2016-05-30,Monday,1,Memorial Day,48.0,14.0,51.0,41.0,154.0
2016-05-31,Tuesday,0,na,28.0,10.0,21.0,17.0,76.0
2016-06-01,Wednesday,0,na,23.0,4.0,17.0,23.0,67.0
2016-06-02,Thursday,0,na,10.0,15.0,23.0,29.0,77.0
2016-06-03,Friday,0,na,24.0,37.0,20.0,18.0,99.0
2016-06-04,Saturday,0,na,49.0,31.0,44.0,50.0,174.0
2016-06-05,Sunday,0,na,41.0,10.0,50.0,52.0,153.0
2016-06-06,Monday,0,na,19.0,2.0,21.0,31.0,73.0
2016-06-07,Tuesday,0,na,26.0,27.0,19.0,24.0,96.0
2016-06-08,Wednesday,0,na,38.0,20.0,18.0,26.0,102.0
2016-06-09,Thursday,0,na,21.0,41.0,22.0,25.0,109.0
2016-06-10,Friday,0,na,39.0,46.0,34.0,37.0,156.0
2016-06-11,Saturday,0,na,61.0,29.0,43.0,74.0,207.0
2016-06-12,Sunday,0,na,58.0,48.0,32.0,48.0,186.0
2016-06-13,Monday,0,na,16.0,12.0,7.0,9.0,44.0
2016-06-14,Tuesday,0,na,41.0,5.0,23.0,28.0,97.0
2016-06-15,Wednesday,0,na,38.0,6.0,14.0,28.0,86.0
2016-06-16,Thursday,0,na,35.0,9.0,14.0,24.0,82.0
2016-06-17,Friday,0,na,70.0,47.0,13.0,24.0,154.0
2016-06-18,Saturday,0,na,76.0,36.0,60.0,48.0,220.0
2016-06-19,Sunday,1,Father's Day,88.0,27.0,41.0,68.0,224.0
2016-06-20,Monday,0,na,33.0,23.0,20.0,12.0,88.0
2016-06-21,Tuesday,0,na,53.0,9.0,19.0,8.0,89.0
2016-06-22,Wednesday,0,na,25.0,7.0,12.0,16.0,60.0
2016-06-23,Thursday,0,na,44.0,33.0,16.0,14.0,107.0
2016-06-24,Friday,0,na,62.0,34.0,47.0,14.0,157.0
2016-06-25,Saturday,0,na,74.0,33.0,81.0,53.0,241.0
2016-06-26,Sunday,0,na,66.0,24.0,57.0,56.0,203.0
2016-06-27,Monday,0,na,26.0,16.0,19.0,15.0,76.0
2016-06-28,Tuesday,0,na,39.0,13.0,18.0,21.0,91.0
2016-06-29,Wednesday,0,na,30.0,20.0,51.0,16.0,117.0
2016-06-30,Thursday,0,na,37.0,3.0,23.0,23.0,86.0
2016-07-01,Friday,0,na,38.0,38.0,25.0,14.0,115.0
2016-07-02,Saturday,0,na,62.0,61.0,51.0,56.0,230.0
2016-07-03,Sunday,0,na,52.0,46.0,41.0,35.0,174.0
2016-07-04,Monday,1,Independence Day,22.0,38.0,33.0,43.0,136.0
2016-07-05,Tuesday,0,na,37.0,10.0,27.0,41.0,115.0
2016-07-06,Wednesday,0,na,40.0,11.0,18.0,61.0,130.0
2016-07-07,Thursday,0,na,30.0,13.0,37.0,13.0,93.0
2016-07-08,Friday,0,na,35.0,46.0,17.0,50.0,148.0
2016-07-09,Saturday,0,na,88.0,30.0,76.0,48.0,242.0
2016-07-10,Sunday,0,na,88.0,27.0,57.0,47.0,219.0
2016-07-11,Monday,0,na,17.0,2.0,42.0,23.0,84.0
2016-07-12,Tuesday,0,na,38.0,13.0,14.0,15.0,80.0
2016-07-13,Wednesday,0,na,21.0,27.0,7.0,20.0,75.0
2016-07-14,Thursday,0,na,39.0,5.0,18.0,6.0,68.0
2016-07-15,Friday,0,na,47.0,34.0,22.0,15.0,118.0
2016-07-16,Saturday,0,na,88.0,32.0,44.0,60.0,224.0
2016-07-17,Sunday,0,na,32.0,24.0,60.0,79.0,195.0
2016-07-18,Monday,0,na,48.0,32.0,19.0,18.0,117.0
2016-07-19,Tuesday,0,na,23.0,19.0,14.0,12.0,68.0
2016-07-20,Wednesday,0,na,30.0,25.0,8.0,17.0,80.0
2016-07-21,Thursday,0,na,22.0,7.0,10.0,17.0,56.0
2016-07-22,Friday,0,na,58.0,47.0,71.0,16.0,192.0
2016-07-23,Saturday,0,na,50.0,36.0,69.0,40.0,195.0
2016-07-24,Sunday,0,na,27.0,38.0,55.0,36.0,156.0
2016-07-25,Monday,0,na,35.0,14.0,10.0,11.0,70.0
2016-07-26,Tuesday,0,na,26.0,23.0,23.0,19.0,91.0
2016-07-27,Wednesday,0,na,23.0,9.0,18.0,14.0,64.0
2016-07-28,Thursday,0,na,35.0,8.0,19.0,44.0,106.0
2016-07-29,Friday,0,na,51.0,47.0,20.0,23.0,141.0
2016-07-30,Saturday,0,na,67.0,60.0,58.0,51.0,236.0
2016-07-31,Sunday,0,na,30.0,16.0,58.0,42.0,146.0
2016-08-01,Monday,0,na,9.0,16.0,11.0,15.0,51.0
2016-08-02,Tuesday,0,na,27.0,11.0,12.0,23.0,73.0
2016-08-03,Wednesday,0,na,47.0,33.0,9.0,25.0,114.0
2016-08-04,Thursday,0,na,26.0,12.0,24.0,19.0,81.0
2016-08-05,Friday,0,na,45.0,17.0,19.0,20.0,101.0
2016-08-06,Saturday,0,na,46.0,27.0,52.0,29.0,154.0
2016-08-07,Sunday,0,na,49.0,25.0,45.0,38.0,157.0
2016-08-08,Monday,0,na,26.0,19.0,21.0,9.0,75.0
2016-08-09,Tuesday,0,na,17.0,19.0,21.0,20.0,77.0
2016-08-10,Wednesday,0,na,23.0,25.0,12.0,43.0,103.0
2016-08-11,Thursday,0,na,33.0,19.0,27.0,43.0,122.0
2016-08-12,Friday,0,na,36.0,57.0,18.0,39.0,150.0
2016-08-13,Saturday,0,na,44.0,23.0,75.0,54.0,196.0
2016-08-14,Sunday,0,na,32.0,9.0,49.0,59.0,149.0
2016-08-15,Monday,0,na,46.0,43.0,27.0,45.0,161.0
2016-08-16,Tuesday,0,na,22.0,20.0,23.0,19.0,84.0
2016-08-17,Wednesday,0,na,18.0,17.0,18.0,22.0,75.0
2016-08-18,Thursday,0,na,23.0,9.0,13.0,6.0,51.0
2016-08-19,Friday,0,na,23.0,25.0,31.0,48.0,127.0
2016-08-20,Saturday,0,na,55.0,26.0,65.0,37.0,183.0
2016-08-21,Sunday,0,na,20.0,18.0,57.0,49.0,144.0
2016-08-22,Monday,0,na,25.0,12.0,16.0,12.0,65.0
2016-08-23,Tuesday,0,na,24.0,15.0,30.0,14.0,83.0
2016-08-24,Wednesday,0,na,23.0,26.0,6.0,37.0,92.0
2016-08-25,Thursday,0,na,28.0,9.0,21.0,55.0,113.0
2016-08-26,Friday,0,na,30.0,38.0,41.0,20.0,129.0
2016-08-27,Saturday,0,na,55.0,31.0,61.0,49.0,196.0
2016-08-28,Sunday,0,na,35.0,39.0,47.0,54.0,175.0
2016-08-29,Monday,0,na,19.0,31.0,17.0,17.0,84.0
2016-08-30,Tuesday,0,na,25.0,2.0,21.0,9.0,57.0
2016-08-31,Wednesday,0,na,41.0,34.0,20.0,15.0,110.0
2016-09-01,Thursday,0,na,10.0,14.0,14.0,16.0,54.0
2016-09-02,Friday,0,na,32.0,11.0,20.0,40.0,103.0
2016-09-03,Saturday,0,na,89.0,55.0,48.0,51.0,243.0
2016-09-04,Sunday,0,na,19.0,11.0,36.0,97.0,163.0
2016-09-05,Monday,1,Labor Day,61.0,21.0,31.0,45.0,158.0
2016-09-06,Tuesday,0,na,22.0,4.0,20.0,17.0,63.0
2016-09-07,Wednesday,0,na,38.0,30.0,17.0,17.0,102.0
2016-09-08,Thursday,0,na,22.0,2.0,15.0,22.0,61.0
2016-09-09,Friday,0,na,39.0,27.0,25.0,12.0,103.0
2016-09-10,Saturday,0,na,68.0,33.0,51.0,57.0,209.0
2016-09-11,Sunday,0,na,40.0,20.0,67.0,54.0,181.0
2016-09-12,Monday,0,na,10.0,2.0,14.0,37.0,63.0
2016-09-13,Tuesday,0,na,25.0,10.0,10.0,11.0,56.0
2016-09-14,Wednesday,0,na,20.0,13.0,13.0,27.0,73.0
2016-09-15,Thursday,0,na,26.0,5.0,23.0,39.0,93.0
2016-09-16,Friday,0,na,23.0,43.0,23.0,51.0,140.0
2016-09-17,Saturday,0,na,75.0,38.0,99.0,60.0,272.0
2016-09-18,Sunday,0,na,52.0,47.0,55.0,57.0,211.0
2016-09-19,Monday,0,na,37.0,41.0,22.0,19.0,119.0
2016-09-20,Tuesday,0,na,12.0,12.0,16.0,11.0,51.0
2016-09-21,Wednesday,0,na,40.0,49.0,21.0,10.0,120.0
2016-09-22,Thursday,0,na,49.0,31.0,31.0,35.0,146.0
2016-09-23,Friday,0,na,36.0,27.0,30.0,44.0,137.0
2016-09-24,Saturday,0,na,67.0,38.0,62.0,40.0,207.0
2016-09-25,Sunday,0,na,31.0,20.0,50.0,73.0,174.0
2016-09-26,Monday,0,na,8.0,19.0,17.0,9.0,53.0
2016-09-27,Tuesday,0,na,31.0,33.0,18.0,45.0,127.0
2016-09-28,Wednesday,0,na,27.0,41.0,22.0,49.0,139.0
2016-09-29,Thursday,0,na,18.0,11.0,16.0,12.0,57.0
2016-09-30,Friday,0,na,48.0,21.0,33.0,27.0,129.0
2016-10-01,Saturday,0,na,30.0,28.0,55.0,78.0,191.0
2016-10-02,Sunday,0,na,46.0,22.0,61.0,42.0,171.0
2016-10-03,Monday,0,na,34.0,8.0,17.0,15.0,74.0
2016-10-04,Tuesday,0,na,32.0,19.0,12.0,42.0,105.0
2016-10-05,Wednesday,0,na,12.0,16.0,8.0,22.0,58.0
2016-10-06,Thursday,0,na,8.0,26.0,16.0,25.0,75.0
2016-10-07,Friday,0,na,55.0,45.0,28.0,21.0,149.0
2016-10-08,Saturday,0,na,82.0,45.0,55.0,46.0,228.0
2016-10-09,Sunday,0,na,57.0,9.0,44.0,79.0,189.0
2016-10-10,Monday,1,Columbus Day,37.0,31.0,41.0,85.0,194.0
2016-10-11,Tuesday,0,na,19.0,45.0,14.0,8.0,86.0
2016-10-12,Wednesday,0,na,9.0,11.0,17.0,35.0,72.0
2016-10-13,Thursday,0,na,13.0,26.0,13.0,16.0,68.0
2016-10-14,Friday,0,na,71.0,53.0,21.0,36.0,181.0
2016-10-15,Saturday,0,na,66.0,47.0,54.0,47.0,214.0
2016-10-16,Sunday,0,na,37.0,11.0,45.0,56.0,149.0
2016-10-17,Monday,0,na,6.0,15.0,11.0,9.0,41.0
2016-10-18,Tuesday,0,na,32.0,32.0,17.0,28.0,109.0
2016-10-19,Wednesday,0,na,25.0,34.0,23.0,19.0,101.0
2016-10-20,Thursday,0,na,20.0,15.0,25.0,19.0,79.0
2016-10-21,Friday,0,na,46.0,27.0,32.0,16.0,121.0
2016-10-22,Saturday,0,na,73.0,56.0,43.0,46.0,218.0
2016-10-23,Sunday,0,na,32.0,32.0,24.0,54.0,142.0
2016-10-24,Monday,0,na,30.0,12.0,17.0,20.0,79.0
2016-10-25,Tuesday,0,na,27.0,29.0,25.0,15.0,96.0
2016-10-26,Wednesday,0,na,18.0,30.0,14.0,23.0,85.0
2016-10-27,Thursday,0,na,33.0,22.0,16.0,26.0,97.0
2016-10-28,Friday,0,na,38.0,38.0,38.0,28.0,142.0
2016-10-29,Saturday,0,na,100.0,47.0,55.0,54.0,256.0
2016-10-30,Sunday,0,na,8.0,33.0,59.0,96.0,196.0
2016-10-31,Monday,1,Halloween,39.0,8.0,52.0,82.0,181.0
2016-11-01,Tuesday,0,na,33.0,37.0,17.0,23.0,110.0
2016-11-02,Wednesday,0,na,41.0,41.0,23.0,16.0,121.0
2016-11-03,Thursday,0,na,61.0,33.0,44.0,60.0,198.0
2016-11-04,Friday,0,na,33.0,22.0,23.0,28.0,106.0
2016-11-05,Saturday,0,na,66.0,45.0,59.0,33.0,203.0
2016-11-06,Sunday,0,na,24.0,26.0,40.0,48.0,138.0
2016-11-07,Monday,0,na,15.0,9.0,17.0,20.0,61.0
2016-11-08,Tuesday,0,na,28.0,13.0,20.0,16.0,77.0
2016-11-09,Wednesday,0,na,27.0,36.0,15.0,14.0,92.0
2016-11-10,Thursday,0,na,23.0,32.0,12.0,16.0,83.0
2016-11-11,Friday,1,Veterans' Day,75.0,45.0,37.0,50.0,207.0
2016-11-12,Saturday,0,na,58.0,57.0,44.0,49.0,208.0
2016-11-13,Sunday,0,na,29.0,22.0,48.0,50.0,149.0
2016-11-14,Monday,0,na,9.0,25.0,16.0,27.0,77.0
2016-11-15,Tuesday,0,na,19.0,12.0,22.0,9.0,62.0
2016-11-16,Wednesday,0,na,27.0,22.0,26.0,45.0,120.0
2016-11-17,Thursday,0,na,35.0,16.0,18.0,32.0,101.0
2016-11-18,Friday,0,na,44.0,39.0,35.0,32.0,150.0
2016-11-19,Saturday,0,na,80.0,49.0,51.0,26.0,206.0
2016-11-20,Sunday,0,na,32.0,18.0,34.0,14.0,98.0
2016-11-21,Monday,0,na,23.0,15.0,19.0,9.0,66.0
2016-11-22,Tuesday,0,na,59.0,56.0,18.0,15.0,148.0
2016-11-23,Wednesday,0,na,5.0,42.0,20.0,38.0,105.0
2016-11-24,Thursday,1,Thanksgiving,17.0,21.0,20.0,7.0,65.0
2016-11-25,Friday,1,Black Friday,72.0,27.0,34.0,102.0,235.0
2016-11-26,Saturday,0,na,69.0,48.0,60.0,55.0,232.0
2016-11-27,Sunday,0,na,49.0,13.0,43.0,50.0,155.0
2016-11-28,Monday,0,na,20.0,17.0,14.0,20.0,71.0
2016-11-29,Tuesday,0,na,32.0,9.0,26.0,30.0,97.0
2016-11-30,Wednesday,0,na,8.0,55.0,13.0,26.0,102.0
2016-12-01,Thursday,0,na,23.0,21.0,18.0,14.0,76.0
2016-12-02,Friday,0,na,34.0,42.0,19.0,15.0,110.0
2016-12-03,Saturday,0,na,55.0,52.0,60.0,63.0,230.0
2016-12-04,Sunday,0,na,54.0,26.0,58.0,49.0,187.0
2016-12-05,Monday,0,na,29.0,10.0,20.0,21.0,80.0
2016-12-06,Tuesday,0,na,13.0,21.0,24.0,15.0,73.0
2016-12-07,Wednesday,0,na,10.0,28.0,18.0,14.0,70.0
2016-12-08,Thursday,0,na,33.0,21.0,15.0,24.0,93.0
2016-12-09,Friday,0,na,40.0,41.0,29.0,30.0,140.0
2016-12-10,Saturday,0,na,69.0,54.0,78.0,37.0,238.0
2016-12-11,Sunday,0,na,31.0,12.0,45.0,96.0,184.0
2016-12-12,Monday,0,na,16.0,7.0,24.0,19.0,66.0
2016-12-13,Tuesday,0,na,35.0,42.0,15.0,11.0,103.0
2016-12-14,Wednesday,0,na,23.0,65.0,19.0,13.0,120.0
2016-12-15,Thursday,0,na,25.0,51.0,25.0,24.0,125.0
2016-12-16,Friday,0,na,50.0,57.0,23.0,27.0,157.0
2016-12-17,Saturday,0,na,86.0,52.0,65.0,43.0,246.0
2016-12-18,Sunday,0,na,39.0,37.0,32.0,47.0,155.0
2016-12-19,Monday,0,na,29.0,23.0,8.0,23.0,83.0
2016-12-20,Tuesday,0,na,11.0,41.0,15.0,24.0,91.0
2016-12-21,Wednesday,0,na,27.0,44.0,24.0,23.0,118.0
2016-12-22,Thursday,0,na,57.0,66.0,33.0,25.0,181.0
2016-12-23,Friday,0,na,51.0,59.0,56.0,30.0,196.0
2016-12-24,Saturday,1,Christmas Eve,64.0,66.0,42.0,94.0,266.0
2016-12-25,Sunday,1,Christmas Day,64.0,41.0,70.0,59.0,234.0
2016-12-26,Monday,0,na,35.0,18.0,20.0,27.0,100.0
2016-12-27,Tuesday,0,na,38.0,56.0,19.0,11.0,124.0
2016-12-28,Wednesday,0,na,31.0,53.0,36.0,24.0,144.0
2016-12-29,Thursday,0,na,33.0,19.0,27.0,43.0,122.0
2016-12-30,Friday,0,na,64.0,49.0,24.0,59.0,196.0
2016-12-31,Saturday,1,New Year's Eve,88.0,54.0,57.0,117.0,316.0
2017-01-01,Sunday,1,New Year's Day,48.0,43.0,47.0,118.0,256.0
2017-01-02,Monday,0,na,7.0,5.0,43.0,75.0,130.0
2017-01-03,Tuesday,0,na,39.0,34.0,16.0,55.0,144.0
2017-01-04,Wednesday,0,na,23.0,24.0,23.0,29.0,99.0
2017-01-05,Thursday,0,na,14.0,22.0,28.0,11.0,75.0
2017-01-06,Friday,0,na,16.0,33.0,21.0,21.0,91.0
2017-01-07,Saturday,0,na,85.0,58.0,39.0,51.0,233.0
2017-01-08,Sunday,0,na,27.0,17.0,43.0,85.0,172.0
2017-01-09,Monday,0,na,40.0,11.0,10.0,30.0,91.0
2017-01-10,Tuesday,0,na,12.0,25.0,18.0,14.0,69.0
2017-01-11,Wednesday,0,na,19.0,17.0,12.0,14.0,62.0
2017-01-12,Thursday,0,na,21.0,27.0,16.0,15.0,79.0
2017-01-13,Friday,0,na,30.0,47.0,16.0,9.0,102.0
2017-01-14,Saturday,0,na,84.0,48.0,55.0,39.0,226.0
2017-01-15,Sunday,0,na,33.0,35.0,51.0,39.0,158.0
2017-01-16,Monday,1,Martin Luther King Day,56.0,26.0,29.0,26.0,137.0
2017-01-17,Tuesday,0,na,38.0,27.0,19.0,19.0,103.0
